name,latitude,longitude,opening_hours,outdoor_seating,bar_orientation,hour,is_in_sunlight
Coffee Factory,41.9990758,21.4235228,,False,349,00:00,0
Coffee Factory,41.9990758,21.4235228,,False,349,01:00,0
Coffee Factory,41.9990758,21.4235228,,False,349,02:00,0
Coffee Factory,41.9990758,21.4235228,,False,349,03:00,0
Coffee Factory,41.9990758,21.4235228,,False,349,04:00,0
Coffee Factory,41.9990758,21.4235228,,False,349,05:00,0
Coffee Factory,41.9990758,21.4235228,,False,349,06:00,0
Coffee Factory,41.9990758,21.4235228,,False,349,07:00,0
Coffee Factory,41.9990758,21.4235228,,False,349,08:00,0
Coffee Factory,41.9990758,21.4235228,,False,349,09:00,0
Coffee Factory,41.9990758,21.4235228,,False,349,10:00,0
Coffee Factory,41.9990758,21.4235228,,False,349,11:00,0
Coffee Factory,41.9990758,21.4235228,,False,349,12:00,0
Coffee Factory,41.9990758,21.4235228,,False,349,13:00,0
Coffee Factory,41.9990758,21.4235228,,False,349,14:00,0
Coffee Factory,41.9990758,21.4235228,,False,349,15:00,0
Coffee Factory,41.9990758,21.4235228,,False,349,16:00,0
Coffee Factory,41.9990758,21.4235228,,False,349,17:00,0
Coffee Factory,41.9990758,21.4235228,,False,349,18:00,0
Coffee Factory,41.9990758,21.4235228,,False,349,19:00,0
Coffee Factory,41.9990758,21.4235228,,False,349,20:00,0
Coffee Factory,41.9990758,21.4235228,,False,349,21:00,0
Coffee Factory,41.9990758,21.4235228,,False,349,22:00,0
Coffee Factory,41.9990758,21.4235228,,False,349,23:00,0
Деус,42.0002817,21.4241291,,False,88,00:00,0
Деус,42.0002817,21.4241291,,False,88,01:00,0
Деус,42.0002817,21.4241291,,False,88,02:00,0
Деус,42.0002817,21.4241291,,False,88,03:00,0
Деус,42.0002817,21.4241291,,False,88,04:00,0
Деус,42.0002817,21.4241291,,False,88,05:00,0
Деус,42.0002817,21.4241291,,False,88,06:00,0
Деус,42.0002817,21.4241291,,False,88,07:00,0
